epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.154,1.21765,3.6785,0.00644,0.1894,0.46785,0.22568,0.17408,0.8592,3.96277,0.00541,0.000656085,0.000656085,0.000656085
2,758.507,1.33296,2.71585,0.0071,0.58632,0.43747,0.49262,0.33108,1.16351,2.86969,0.00831,0.00123545,0.00123545,0.00123545
3,1120.17,1.36066,2.32474,0.00731,0.59054,0.54112,0.57168,0.40871,1.07726,2.0582,0.00745,0.00172681,0.00172681,0.00172681
4,1481.96,1.34031,2.10588,0.00748,0.52987,0.50619,0.4937,0.3352,1.17361,1.92253,0.00864,0.001604,0.001604,0.001604
5,1839.79,1.3251,1.93439,0.0076,0.59315,0.54257,0.59308,0.41449,1.20076,1.6482,0.00838,0.001472,0.001472,0.001472
6,2175.02,1.22689,1.75464,0.00786,0.60783,0.59407,0.61394,0.42472,1.17518,1.4839,0.00835,0.00134,0.00134,0.00134
7,2506.51,1.18652,1.58457,0.00744,0.57684,0.6157,0.62119,0.44238,1.11638,1.41898,0.00816,0.001208,0.001208,0.001208
8,2843.6,1.16356,1.50993,0.00752,0.67223,0.63344,0.70092,0.52418,0.97485,1.20637,0.0067,0.001076,0.001076,0.001076
9,3177.39,1.12659,1.34186,0.00703,0.72115,0.65602,0.73603,0.55467,0.9599,1.1155,0.00668,0.000944,0.000944,0.000944
10,3509.7,1.08095,1.30923,0.00647,0.71334,0.67899,0.74164,0.56207,0.92037,1.10843,0.00633,0.000812,0.000812,0.000812
11,3841.16,1.03259,1.21597,0.00628,0.73724,0.68203,0.77422,0.59573,0.91679,1.00062,0.00631,0.00068,0.00068,0.00068
12,4173.32,0.97908,1.13318,0.00605,0.78343,0.68504,0.79679,0.63124,0.83495,0.93015,0.00539,0.000548,0.000548,0.000548
13,4506.42,0.95405,1.09483,0.00553,0.74402,0.71696,0.79632,0.6399,0.83275,0.89912,0.00547,0.000416,0.000416,0.000416
14,4839.61,0.93935,1.07016,0.00548,0.7727,0.71646,0.81533,0.66772,0.76567,0.84923,0.00469,0.000284,0.000284,0.000284
15,5173.13,0.91273,0.99916,0.00524,0.77579,0.72557,0.82322,0.67354,0.75294,0.84475,0.00462,0.000152,0.000152,0.000152
